$#|$#401185 3
100353785$#|$#199314 407,199721 392,200113 418,200531 385,200916 384
100353786$#|$#209108 428,209536 396,209932 402,210334 396
100353787$#|$#212298 432,212730 397,213127 403,213530 397
100353788$#|$#215499 384,215883 415,216298 428,216726 383,217109 379,217488 394,217882 380,218262 396,218658 380
100353789$#|$#220606 433,221039 398,221437 404,221841 398
100353790$#|$#223819 436,224255 401,224656 407,225063 401
100353791$#|$#227443 436,227879 401,228280 407,228687 385,229072 401
100353792$#|$#231041 418,231459 401,231860 407,232267 401
100353793$#|$#235061 437,235498 402,235900 432,236332 388,236720 402,237122 412,237534 397
100353795$#|$#243757 436,244193 415,244608 407,245015 401
100353796$#|$#259895 385,260280 403
100353797$#|$#267375 408,267783 390,268173 421,268594 390,268984 386,269370 381
100353798$#|$#275808 433,276241 398,276639 404
100353799$#|$#277043 436,277479 401,277880 407
100353800$#|$#286861 451,287312 446
100353801$#|$#287758 433,288191 398,288589 404
100353802$#|$#290956 435,291391 400,291791 424,292215 381,292596 400,292996 389,293385 384
100353803$#|$#312566 406,312972 382
100353804$#|$#313354 434,313788 399,314187 405
100353806$#|$#337961 419,338380 402,338782 408,339190 402
100353807$#|$#350474 417,350891 400,351291 406,351697 400
100353808$#|$#359257 402,359659 402,360061 393,360454 390
100353809$#|$#384459 434,384893 434,385327 431,385758 386,386144 390
100353810$#|$#386534 392,386926 416
100370591$#|$#19017 407
100370592$#|$#145607 413,146020 393,146413 395,146808 393
100370594$#|$#171585 389,171974 383,172357 382,172739 381,173120 381
100370595$#|$#178204 387,178591 385,178976 383,179359 384,179743 386
100370596$#|$#186397 398,186795 386,187181 390,187571 382,187953 386,188339 383
100370597$#|$#197311 413,197724 393,198117 395,198512 393
100370598$#|$#206367 399,206766 385,207151 389
100370599$#|$#247815 407,248222 391,248613 394
100370600$#|$#263800 410,264210 390,264600 389,264989 390
100370601$#|$#304126 394,304520 386,304906 383,305289 386,305675 393
100370602$#|$#306068 414,306482 401,306883 399,307282 391
100370603$#|$#298561 403,298964 390,299354 388,299742 390
100370605$#|$#333262 392,333654 386,334040 392,334432 403
100370606$#|$#367188 385,367573 384,367957 385
100370607$#|$#371543 384
100370608$#|$#387342 405,387747 405,388152 403
100370609$#|$#388555 394,388949 395,389344 392
100380906$#|$#371927 387,372314 387
200000006$#|$#19424 383
200000014$#|$#19807 384
200000029$#|$#20191 384
200000040$#|$#20575 383
200000045$#|$#20958 395
200000064$#|$#21353 379
200000068$#|$#21732 383
200000069$#|$#22115 384
200000070$#|$#22499 383
600000012$#|$#22882 386
600000028$#|$#23268 382
600000031$#|$#23650 385
600000033$#|$#24035 383
600000034$#|$#24418 382
600000037$#|$#24800 382
600000039$#|$#25182 380
600000048$#|$#25562 382
600000060$#|$#25944 380
600000072$#|$#26324 414
600000077$#|$#26738 380
600000078$#|$#27118 380
600000096$#|$#27498 383
600000133$#|$#27881 383
600000157$#|$#28264 404
600000163$#|$#28668 380
600000178$#|$#29048 381
600000188$#|$#29429 381
600000199$#|$#29810 382
600000211$#|$#30192 381
600000213$#|$#30573 411
600000216$#|$#30984 384
600000219$#|$#31368 389
600000231$#|$#31757 384
600000233$#|$#32141 383
600000236$#|$#32524 391
600000251$#|$#32915 384
600000255$#|$#33299 385
600000258$#|$#33684 384
600000267$#|$#34068 385
600000270$#|$#34453 384
600000287$#|$#34837 383
600000298$#|$#35220 379
600000300$#|$#35599 381
600000301$#|$#35980 384
600000304$#|$#36364 384
600000305$#|$#36748 408
600000309$#|$#37156 381
600000328$#|$#37537 379
600000329$#|$#37916 385
600000330$#|$#38301 380
600000340$#|$#38681 384
600000343$#|$#39065 382
600000348$#|$#39447 384
600000350$#|$#39831 384
600000351$#|$#40215 381
600000352$#|$#40596 382
600000354$#|$#40978 382
600000355$#|$#41360 379
600000359$#|$#41739 388
600000361$#|$#42127 385,42512 389
600000363$#|$#42901 380
600000365$#|$#43281 381
600000375$#|$#43662 410
600000376$#|$#44072 385
600000377$#|$#44457 384
600000381$#|$#44841 384
600000387$#|$#45225 406
600000389$#|$#45631 380
600000393$#|$#46011 380
600000394$#|$#46391 380
600000400$#|$#46771 379
600000404$#|$#47150 380
600000406$#|$#47530 380
600000408$#|$#47910 379
600000409$#|$#48289 380
600000410$#|$#48669 384
600000412$#|$#49053 382
600000413$#|$#49435 393
600000414$#|$#49828 384
600000415$#|$#50212 382
600000416$#|$#50594 379
600000417$#|$#50973 382
600000418$#|$#51355 387
600000419$#|$#51742 385
600000422$#|$#52127 412
600000423$#|$#52539 413
600000425$#|$#52952 382
600000426$#|$#53334 383
600000427$#|$#53717 390
600000428$#|$#54107 381
600000433$#|$#54488 383
600000436$#|$#54871 385
600000438$#|$#55256 380
600000440$#|$#55636 382
600000441$#|$#56018 381
600000448$#|$#56399 384
600000449$#|$#56783 382
600000450$#|$#57165 382
600000452$#|$#57547 382
600000454$#|$#57929 381
600000455$#|$#58310 382
600000466$#|$#58692 382
600000470$#|$#59074 381
600000492$#|$#59455 381
